ID,LABELS,X.COR,Y.COR
AD20-088,LM3,2984,2578
AD20-088,LM4,3332,2518
AD20-088,LM5,3635,2465
AD20-088,LM6,3655,2356
AD20-088,LM7,3613,2241
AD20-088,LM8,3283,2217
AD20-088,LM9,3211,2167
AD20-088,LM10,2973,2113
AD20-088,LM11,2583,2225
AD20-088,LM12,2535,2263
AD20-088,LM13,2711,2322
AD20-088,LM14,2749,2258
AD20-088,LM15,2472,2391
AD20-088,LM16,2551,2393
AD20-089,LM1,2708,1865
AD20-089,LM2,2914,1963
AD20-089,LM3,3401,2060
AD20-089,LM4,3650,2004
AD20-089,LM5,3978,1961
AD20-089,LM6,3989,1859
AD20-089,LM7,3957,1757
AD20-089,LM8,3637,1744
AD20-089,LM9,3522,1702
AD20-089,LM10,3316,1653
AD20-089,LM11,2937,1717
AD20-089,LM12,2871,1739
AD20-089,LM13,3075,1839
AD20-089,LM14,3099,1766
AD20-089,LM15,2793,1860
AD20-089,LM16,2889,1860
AD20-090,LM1,3516,2310
AD20-090,LM2,3715,2373
AD20-090,LM3,4201,2402
AD20-090,LM4,4407,2366
AD20-090,LM5,4762,2320
AD20-090,LM6,4772,2216
AD20-090,LM7,4746,2115
AD20-090,LM8,4365,2087
AD20-090,LM9,4283,2079
AD20-090,LM10,4074,2065
AD20-090,LM11,3699,2137
AD20-090,LM12,3664,2152
AD20-090,LM13,3863,2218
AD20-090,LM14,3892,2148
AD20-090,LM15,3591,2283
AD20-090,LM16,3689,2272
AD22-001,LM1,2541,2071
AD22-001,LM2,2756,2136
AD22-001,LM3,3318,2197
AD22-001,LM4,3561,2123
AD22-001,LM5,3927,2054
AD22-001,LM6,3927,1933
AD22-001,LM7,3875,1827
AD22-001,LM8,3485,1827
AD22-001,LM9,3397,1800
AD22-001,LM10,3148,1806
AD22-001,LM11,2771,1879
AD22-001,LM12,2693,1912
AD22-001,LM13,2919,1996
AD22-001,LM14,2954,1916
AD22-001,LM15,2629,2051
AD22-001,LM16,2726,2052
AD19-002,LM1,2130,2936
AD19-002,LM2,2429,3082
AD19-002,LM3,2857,3194
AD19-002,LM4,3275,3106
AD19-002,LM5,3689,3070
AD19-002,LM6,3702,2898
AD19-002,LM7,3662,2731
AD19-002,LM8,3222,2729
AD19-002,LM9,3107,2685
AD19-002,LM10,2867,2627
AD19-002,LM11,2436,2711
AD19-002,LM12,2391,2733
AD19-002,LM13,2619,2872
AD19-002,LM14,2648,2774
AD19-002,LM15,2244,2932
AD19-002,LM16,2375,2946
AD19-003,LM1,1640,1125
AD19-003,LM2,1950,1288
AD19-003,LM3,2542,1438
AD19-003,LM4,3014,1387
AD19-003,LM5,3545,1414
AD19-003,LM6,3566,1215
AD19-003,LM7,3574,1010
AD19-003,LM8,2967,974
AD19-003,LM9,2849,920
AD19-003,LM10,2570,830
AD19-003,LM11,2019,865
AD19-003,LM12,1882,917
AD19-003,LM13,2187,1006
AD19-003,LM14,2224,924
AD19-003,LM15,1761,1099
AD19-003,LM16,1895,1094
AD19-004,LM1,3128,2707
AD19-004,LM2,3381,2782
AD19-004,LM3,3751,2830
AD19-004,LM4,4056,2729
AD19-004,LM5,4339,2688
AD19-004,LM6,4341,2561
AD19-004,LM7,4307,2439
AD19-004,LM8,3994,2451
AD19-004,LM9,3914,2415
AD19-004,LM10,3702,2386
AD19-004,LM11,3367,2484
AD19-004,LM12,3293,2513
AD19-004,LM13,3516,2579
AD19-004,LM14,3527,2512
AD19-004,LM15,3224,2674
AD19-004,LM16,3331,2659
AD19-005,LM1,2021,1722
AD19-005,LM2,2283,1824
AD19-005,LM3,2782,1893
AD19-005,LM4,3151,1790
AD19-005,LM5,3566,1723
AD19-005,LM6,3572,1574
AD19-005,LM7,3536,1438
AD19-005,LM8,3100,1449
AD19-005,LM9,2985,1423
AD19-005,LM10,2720,1392
AD19-005,LM11,2309,1482
AD19-005,LM12,2206,1523
AD19-005,LM13,2467,1611
AD19-005,LM14,2490,1519
AD19-005,LM15,2113,1694
AD19-005,LM16,2233,1690
AD19-006,LM1,2034,1588
AD19-006,LM2,2296,1708
AD19-006,LM3,2774,1808
AD19-006,LM4,3149,1756
AD19-006,LM5,3549,1744
