Residuals,Location,Spp
0.761295045,Q1,form
3.12016365,Q1,form
0.760479154,Q1,form
0.96270441,Q1,form
0.129866741,Q1,form
0.914665389,Q1,form
0.147564376,Q1,form
0.11071648,Q1,form
0.343993502,Q1,form
0.264789748,Q1,form
0.120506463,Q1,form
0.389999608,Q1,form
8.06E-02,Q1,form
0.70062796,Q1,form
1.060719145,Q1,form
1.127156131,Q1,form
0.69594041,Q1,form
0.874030261,Q1,form
0.49698606,Q1,form
0.181459466,Q1,form
0.256506138,Q1,form
0.04181364,Q1,form
0.4330893,Q1,form
1.468195792,Q1,form
0.2636863,Q1,form
0.004811226,Q1,form
0.398239945,Q1,form
5.06E-02,Q1,form
0.72884256,Q1,form
0.904944109,Q1,form
0.168798856,Q1,form
0.23852402,Q1,form
0.113045222,Q1,form
0.31130708,Q1,form
0.30860315,Q1,form
0.602872713,Q1,form
0.333379106,Q1,form
0.28062386,Q1,form
1.086397679,Q1,form
0.190389972,Q1,form
0.041236158,Q1,form
0.105844446,Q1,form
3.82E-02,Q1,form
0.82557834,Q1,form
0.212781878,Q1,form
1.311573914,Q1,form
0.01383065,Q1,form
0.931267405,Q1,form
0.95402644,Q1,form
0.09689645,Q1,form
0.492171629,Q1,form
0.508817193,Q1,form
0.45621185,Q1,form
1.320232719,Q1,form
0.453373993,Q1,form
0.062449788,Q1,form
0.189059881,Q1,form
1.39E-01,Q1,form
0.45677319,Q1,form
0.236048446,Q1,form
0.232755994,Q1,form
1.12952587,Q1,form
0.237674486,Q1,form
0.49009111,Q1,form
0.388429225,Q1,form
1.05171951,Q1,form
0.258306197,Q1,form
0.74446735,Q1,form
0.296263371,Q1,form
0.074252585,Q1,form
0.017147119,Q1,form
0.196801036,Q1,form
9.31E-02,Q1,form
0.67442869,Q1,form
0.028835024,Q1,form
0.088487886,Q1,form
0.63508596,Q1,form
0.862028925,Q1,form
0.16897255,Q1,form
0.150803325,Q1,form
0.247357928,Q1,form
0.338364524,Q1,form
0.32439438,Q1,form
0.070134531,Q1,form
0.217461461,Q1,form
0.349559503,Q1,form
0.015964236,Q1,form
3.08E-02,Q1,form
0.60389218,Q1,form
0.942993159,Q1,form
0.015618927,Q1,form
1.47124704,Q1,form
0.170282366,Q1,form
0.26029458,Q1,form
0.175959866,Q1,form
0.145805054,Q1,form
0.700382659,Q1,form
0.19132271,Q1,form
1.765639248,Q1,form
0.000702279,Q1,form
0.091502828,Q1,form
0.08497549,Q1,form
1.50E-01,Q1,form
0.72078125,Q1,form
1.085245392,Q1,form
0.156900934,Q1,form
0.25724847,Q1,form
0.116737941,Q1,form
0.83391953,Q1,form
0.874271883,Q1,form
0.22876447,Q1,form
0.011895464,Q1,form
0.09099153,Q1,form
0.033088574,Q1,form
0.768474637,Q1,form
0.216543321,Q1,form
0.33224316,Q1,form
1.87E-01,Q1,form
0.54947831,Q1,form
0.123227709,Q1,form
1.095929897,Q1,form
1.34485702,Q1,form
1.804791781,Q1,form
0.21998506,Q1,form
0.235366341,Q1,form
0.596035695,Q1,form
0.094631923,Q1,form
0.61369553,Q1,form
0.922171458,Q1,form
0.072226232,Q1,form
0.016820517,Q1,form
0.093215828,Q1,form
1.89E-02,Q1,form
0.62404547,Q1,form
0.032480594,Q1,form
0.985874123,Q1,form
0.48194184,Q1,form
0.161050569,Q1,form
0.17663889,Q1,form
0.168772283,Q1,form
0.439465553,Q1,form
0.045908237,Q1,form
0.28459646,Q1,form
0.766923615,Q1,form
0.005490617,Q1,form
0.079770733,Q1,form
0.449027725,Q1,form
1.13E-01,Q1,form
1.52932502,Q1,form
0.147753956,Q1,form
0.125674701,Q1,form
0.2980459,Q1,form
0.795559984,Q1,form
1.08305159,Q1,form
0.442553925,Q1,form
0.618693698,Q1,form
0.748341027,Q1,form
0.46222364,Q1,form
0.620887091,Q1,form
0.02298543,Q1,form
0.305088422,Q1,form
0.259212612,Q1,form
8.15E-02,Q1,form
0.46886516,Q1,form
0.221332697,Q1,form
0.214909112,Q1,form
0.15761254,Q1,form
0.767864592,Q1,form
0.07225119,Q1,form
0.564116675,Q1,form
0.337118125,Q1,form
0.390531659,Q1,form
0.21001885,Q1,form
0.317033991,Q1,form
0.591379582,Q1,form
0.030107862,Q1,form
0.057202965,Q1,form
1.31E-01,Q1,form
1.44266589,Q1,form
0.746783181,Q1,form
0.253577356,Q1,form
1.09675809,Q1,form
0.244136745,Q1,form
0.64423768,Q1,form
0.433460533,Q1,form
0.072030085,Q1,form
0.629290176,Q1,form
0.69867607,Q1,form
1.055364315,Q1,form
0.062395579,Q1,form
0.414640415,Q1,form
0.042998785,Q1,form
1.51E-01,Q1,form
0.59381554,Q1,form
0.069269965,Q1,form
0.030491329,Q1,form
0.55215852,Q1,form
0.174898265,Q1,form
0.92123868,Q1,form
0.379553658,Q1,form
0.611559642,Q1,form
0.023528107,Q1,form
0.4792823,Q1,form
0.535002935,Q1,form
0.298308111,Q1,form
0.202631125,Q1,form
0.248022902,Q1,form
1.88E-02,Q1,form
0.4789418,Q1,form
0.790930426,Q1,form
0.20003671,Q1,form
0.8189819,Q1,form
0.772480491,Q1,form
0.39071792,Q1,form
0.660522883,Q1,form
1.405517179,Q1,form
0.632613788,Q1,form
1.00202156,Q1,form
0.817676175,Q1,form
0.211014586,Q1,form
1.075758185,Q1,form
0.624204573,Q1,form
4.62E-01,Q1,form
0.43863523,Q1,form
1.741877932,Q1,form
0.259526317,Q1,form
0.08739587,Q1,form
0.754016896,Q1,form
1.11685099,Q1,form
0.07489805,Q1,form
1.034975964,Q1,form
0.740031997,Q1,form
0.5538599,Q1,form
0.415107441,Q1,form
0.398562089,Q1,form
1.452293996,Q1,form
0.756198142,Q1,form
3.37E-01,Q1,form
0.53940166,Q1,form
0.135490832,Q1,form
0.889197701,Q1,form
1.32145146,Q1,form
0.199824117,Q1,form
0.30151832,Q1,form
0.038960133,Q1,form
1.538670998,Q1,form
0.971486475,Q1,form
0.32573595,Q1,form
1.421529275,Q1,form
0.625379599,Q1,form
1.510954469,Q1,form
0.42621422,Q1,form
6.50E-01,Q1,form
0.45878852,Q1,form
0.766404179,Q1,form
1.770218487,Q1,form
1.13420699,Q1,form
1.236751307,Q1,form
0.75378445,Q1,form
0.132289534,Q1,form
0.279753429,Q1,form
0.186322893,Q1,form
0.77794073,Q1,form
0.616391808,Q1,form
0.406226249,Q1,form
0.264026091,Q1,form
0.690201357,Q1,form
3.99E-01,Q1,form
0.53940166,Q1,form
0.135490832,Q1,form
0.110802299,Q1,form
2.32145146,Q1,form
0.800175883,Q1,form
0.30151832,Q1,form
0.038960133,Q1,form
0.461329002,Q1,form
1.028513525,Q1,form
0.67426405,Q1,form
0.421529275,Q1,form
0.625379599,Q1,form
0.510954469,Q1,form
0.42621422,Q1,form
6.50E-01,Q1,form
0.66213121,Q1,form
0.380753304,Q1,form
0.591749664,Q1,form
0.85334027,Q1,form
0.707857909,Q1,form
0.93218365,Q1,form
0.110835966,Q1,form
0.391377074,Q1,form
0.491422481,Q1,form
0.43345575,Q1,form
0.408685608,Q1,form
0.422503777,Q1,form
0.606366477,Q1,form
0.086182064,Q1,form
2.37E-02,Q1,form
0.3598319,Q1,form
0.987140404,Q1,form
0.96207828,Q1,form
1.55550705,Q1,form
1.153665131,Q1,form
2.51381434,Q1,form
0.003022216,Q1,form
0.112317961,Q1,form
0.202940953,Q1,form
0.20533179,Q1,form
1.427951108,Q1,form
0.350678713,Q1,form
1.569614942,Q1,form
0.096230298,Q1,form
9.63E-01,Q1,form
0.37998519,Q1,form
0.037385843,Q1,form
0.008176916,Q1,form
1.49130407,Q1,form
0.162896928,Q1,form
1.84925219,Q1,form
0.2102098,Q1,form
0.202411432,Q1,form
1.756650058,Q1,form
0.57058738,Q1,form
0.226666741,Q1,form
0.155467051,Q1,form
0.757882848,Q1,form
0.162227082,Q1,form
9.00E-01,Q1,form
1.30944868,Q1,form
0.048456022,Q1,form
0.112283729,Q1,form
0.32746515,Q1,form
0.130585637,Q1,form
0.87851933,Q1,form
0.414946742,Q1,form
0.400858558,Q1,form
0.881331808,Q1,form
0.75487028,Q1,form
1.131162024,Q1,form
0.938707869,Q1,form
0.201054821,Q1,form
0.131238337,Q1,form
8.07E-02,Q1,form
1.52932502,Q1,form
0.147753956,Q1,form
0.125674701,Q1,form
2.2980459,Q1,form
0.204440016,Q1,form
0.68305159,Q1,form
0.442553925,Q1,form
0.418693698,Q1,form
0.548341027,Q1,form
0.63777636,Q1,form
0.020887091,Q1,form
0.17701457,Q1,form
0.105088422,Q1,form
0.240787388,Q1,form
1.82E-01,Q1,form
0.39409249,Q1,form
0.054554217,Q1,form
0.012644447,Q1,form
0.52407185,Q1,form
0.169359186,Q1,form
2.40339877,Q1,form
0.455241108,Q1,form
0.322722007,Q1,form
0.644246431,Q1,form
0.8862692,Q1,form
0.414232315,Q1,form
0.218818887,Q1,form
0.389670381,Q1,form
0.708424831,Q1,form
5.44E-01,Q1,form
1.4021538,Q1,form
1.935635285,Q1,form
0.975457632,Q1,form
1.4572037,Q1,form
0.173051905,Q1,form
0.15137462,Q1,form
0.961883859,Q1,form
2.051386236,Q1,form
1.465730072,Q1,form
0.57590154,Q1,form
0.694746062,Q1,form
0.559265778,Q1,form
0.164977544,Q1,form
0.065176455,Q1,form
4.69E-01,Q1,form
0.39812315,Q1,form
0.940540534,Q1,form
0.018593407,Q1,form
4.46656593,Q1,form
0.171205546,Q1,form
1.12398793,Q1,form
0.303321375,Q1,form
0.514332115,Q1,form
0.045011748,Q1,form
1.56891463,Q1,form
0.245510811,Q1,form
0.120223446,Q1,form
0.172676038,Q1,form
0.078375812,Q1,form
2.44E-01,Q1,form
1.31347934,Q1,form
1.043550772,Q1,form
0.106334768,Q1,form
0.66317263,Q1,form
0.867568003,Q1,form
1.34886737,Q1,form
1.173509225,Q1,form
0.063804437,Q1,form
0.629410013,Q1,form
1.11005412,Q1,form
0.009094849,Q1,form
0.799665537,Q1,form
0.06340124,Q1,form
0.444437694,Q1,form
3.07E-01,Q1,form
0.33363263,Q1,form
1.019024525,Q1,form
2.076589964,Q1,form
0.61636151,Q1,form
0.858336206,Q1,form
1.78580083,Q1,form
0.666321642,Q1,form
0.721466171,Q1,form
2.283119117,Q1,form
0.98597329,Q1,form
0.289620784,Q1,form
0.204453874,Q1,form
0.375133335,Q1,form
0.189565522,Q1,form
2.44E-01,Q1,form
0.65024474,Q1,form
0.999403527,Q1,form
0.052794122,Q1,form
2.42108739,Q1,form
0.149049232,Q1,form
1.69534761,Q1,form
1.500571575,Q1,form
0.630317343,Q1,form
0.326086401,Q1,form
0.80670862,Q1,form
0.328593291,Q1,form
1.148284544,Q1,form
0.024519011,Q1,form
0.136768095,Q1,form
5.91E-03,Q1,form
0.31347934,Q1,form
0.043550772,Q1,form
0.106334768,Q1,form
1.66317263,Q1,form
0.867568003,Q1,form
1.74886737,Q1,form
0.273509225,Q1,form
1.636195563,Q1,form
0.070589987,Q1,form
0.21005412,Q1,form
0.590905151,Q1,form
0.199665537,Q1,form
0.26340124,Q1,form
0.244437694,Q1,form
6.07E-01,Q1,form
0.29131073,Q1,form
1.070529644,Q1,form
0.139054052,Q1,form
2.71466486,Q1,form
0.12227702,Q1,form
1.04824055,Q1,form
1.201415567,Q1,form
0.982397895,Q1,form
1.920329998,Q1,form
0.35654303,Q1,form
0.887682046,Q1,form
0.685601635,Q1,form
0.170495936,Q1,form
0.371841231,Q1,form
7.76E-01,Q1,form
0.6683827,Q1,form
0.02147715,Q1,form
0.079564445,Q1,form
1.62104262,Q1,form
0.140740614,Q1,form
0.42210749,Q1,form
0.0129596,Q1,form
0.55293911,Q1,form
0.827748207,Q1,form
1.00838137,Q1,form
0.190250779,Q1,form
0.423975041,Q1,form
0.593960125,Q1,form
0.0038348,Q1,form
5.50E-01,Q1,form
0.2892954,Q1,form
1.072982269,Q1,form
0.857971467,Q1,form
0.71934597,Q1,form
0.12135384,Q1,form
1.98454721,Q1,form
0.622134325,Q1,form
0.313870834,Q1,form
0.435040912,Q1,form
2.07895111,Q1,form
0.732446391,Q1,form
1.333919532,Q1,form
0.389322727,Q1,form
0.134758448,Q1,form
4.82E-01,Q1,form
0.10388516,Q1,form
0.701376257,Q1,form
0.584319274,Q1,form
1.15000826,Q1,form
0.036421305,Q1,form
1.02475931,Q1,form
0.171739908,Q1,form
0.009381244,Q1,form
0.029164673,Q1,form
0.64049476,Q1,form
0.315737436,Q1,form
0.329866826,Q1,form
0.521387457,Q1,form
0.341928864,Q1,form
5.58E-01,Q1,form
0.74698052,Q1,form
0.117129514,Q1,form
0.804430821,Q1,form
0.19639402,Q1,form
1.104736605,Q1,form
0.76193304,Q1,form
0.495071975,Q1,form
0.01961626,Q1,form
0.8682827,Q1,form
0.18229661,Q1,form
0.605241749,Q1,form
0.485300524,Q1,form
0.228204956,Q1,form
0.15355266,Q1,form
1.95E-01,Q1,form
0.2610808,Q1,form
0.892680985,Q1,form
0.183671258,Q1,form
0.78488154,Q1,form
0.108429324,Q1,form
1.09284035,Q1,form
0.812196942,Q1,form
0.654491983,Q1,form
0.989766342,Q1,form
0.69266428,Q1,form
0.485755496,Q1,form
1.507215859,Q1,form
0.352897794,Q1,form
0.327153946,Q1,form
1.70E-01,Q1,form
0.56358561,Q1,form
1.106059336,Q1,form
0.075108534,Q1,form
1.3776248,Q1,form
0.188745961,Q1,form
1.83416152,Q1,form
0.409664967,Q1,form
0.183653731,Q1,form
0.09296445,Q1,form
0.55683895,Q1,form
0.263070515,Q1,form
0.508874396,Q1,form
0.414967017,Q1,form
0.152981922,Q1,form
1.75E-01,Q1,form
0.15426837,Q1,form
0.762691875,Q1,form
0.658681283,Q1,form
2.03298046,Q1,form
0.059500798,Q1,form
0.41709298,Q1,form
0.310291134,Q1,form
0.122557763,Q1,form
0.744891912,Q1,form
0.01970732,Q1,form
0.681051647,Q1,form
0.84183767,Q1,form
0.350717693,Q1,form
0.476936903,Q1,form
1.01E-01,Q1,form
0.60993817,Q1,form
1.049648967,Q1,form
1.006695486,Q1,form
2.48529038,Q1,form
0.832487173,Q1,form
0.86921454,Q1,form
0.786196409,Q1,form
0.140223872,Q1,form
0.33350461,Q1,form
0.35854696,Q1,form
0.073975442,Q1,form
0.457861219,Q1,form
0.4479832,Q1,form
0.095225474,Q1,form
6.89E-02,Q1,form
0.31549467,Q1,form
1.041098148,Q1,form
0.896639712,Q1,form
2.65849151,Q1,form
1.133355177,Q1,form
1.61256071,Q1,form
0.552790467,Q1,form
0.804722624,Q1,form
1.184780923,Q1,form
2.88764603,Q1,form
0.670776714,Q1,form
0.88014437,Q1,form
0.35542555,Q1,form
0.351037372,Q1,form
1.01E-01,Q1,form
0.6260608,Q1,form
0.030027969,Q1,form
0.017100357,Q1,form
0.47726073,Q1,form
0.160127389,Q1,form
1.15966777,Q1,form
0.551946475,Q1,form
0.807992614,Q1,form
0.009462674,Q1,form
0.83781163,Q1,form
0.387052051,Q1,form
0.514030549,Q1,form
0.598597524,Q1,form
0.457571953,Q1,form
8.10E-02,Q1,form
0.41827643,Q1,form
0.083985713,Q1,form
0.048338211,Q1,form
3.41975481,Q1,form
0.180437343,Q1,form
1.7609214,Q1,form
0.296133792,Q1,form
0.499602723,Q1,form
0.908697356,Q1,form
0.5448338,Q1,form
0.355773555,Q1,form
0.384564892,Q1,form
0.584408132,Q1,form
0.412379028,Q1,form
2.81E-01,Q1,form
0.89409951,Q1,form
1.703828882,Q1,form
1.587293754,Q1,form
1.85467285,Q1,form
0.037344484,Q1,form
1.18845265,Q1,form
0.107541334,Q1,form
0.222091695,Q1,form
0.626206238,Q1,form
2.11808667,Q1,form
1.535865873,Q1,form
0.58965434,Q1,form
0.002560666,Q1,form
0.064670814,Q1,form
5.16E-02,Q1,form
0.19860561,Q1,form
0.816649619,Q1,form
1.275880149,Q1,form
0.929996,Q1,form
0.079810752,Q1,form
0.4816534,Q1,form
0.35447845,Q1,form
1.2301531,Q1,form
0.626731882,Q1,form
0.01268515,Q1,form
