ID,SPP,SL.dig,BD1.dig,BD2.dig,CPD.dig,CPL.dig,PreDL.dig,DbL.dig,HL.dig,HD1.dig,HD2.dig,SnL.dig,OL.dig,SL.man,BD1.man,CPD.man,CPL.man,PreDL.man,DbL.man,HL.man,HD1.man,SnL.man,OL.man
AD23-096,p.form,26.75962729,8.003910254,10.84097834,5.053474944,8.561166067,7.944379496,5.103766737,6.739820032,6.219483695,6.16848956,1.942695859,2.281246337,26.8,7.6,4.7,7.6,15.4,5.5,6.8,5.5,2.7,2.8
AD23-097,p.form,31.07359114,9.43035333,12.43771898,5.785762375,9.996702665,8.643546326,6.019911408,7.879492655,7.142041936,7.136779509,2.017931717,2.509470809,30.5,9,5.5,9.1,16.5,6.5,8.1,6.6,2.8,2.9
AD23-098,p.form,31.29668671,9.649066515,12.92518246,6.059363292,10.44837258,10.37731904,5.821046614,6.767559259,6.697714411,6.444889594,2.338955192,2.792561432,31.4,8.5,5.3,9.6,17,7.5,8.5,6.4,2.9,3
AD23-099,p.form,34.76895921,10.50933991,15.19957453,6.491661135,11.0726764,10.39005633,6.70579699,8.645222985,7.634394413,7.681027273,2.476789119,2.821302958,34.1,9.7,6.5,10.7,18.8,7.1,8.5,7.4,2.6,3
AD23-100,p.form,28.57998769,8.322011878,11.64241155,5.179394427,9.659302793,9.655866675,5.395805762,6.238758254,5.958882979,5.7728443,2.053004094,2.556006792,27.4,7.3,4.5,8.1,15.6,6,6.6,5.5,2.3,2.7
AD23-101,p.form,29.86402159,9.401404332,12.7863334,5.802675827,10.17621692,12.55291838,5.596940875,3.954630659,6.4288017,5.31989725,1.710434942,2.444984321,29.2,7.9,5.5,8.5,16.5,6.9,8,6.6,2.4,3
AD23-102,p.form,52.64651032,20.13208657,23.94631539,10.72507478,16.5740688,17.99299552,11.48095142,11.36790958,11.19225615,10.65529413,3.367585138,3.810684092,51.3,19.3,10,15,28.9,12.4,12.2,11.7,3.5,3.9
AD23-103,p.form,51.94686938,16.45181692,21.76704513,10.20548786,17.22095514,16.2527583,10.57418784,11.91633001,11.22932792,10.97194095,3.498503657,3.70082674,51.1,15.3,9.2,16,29.1,11,13.8,10.5,3.8,4
AD23-104,p.form,50.55514207,17.27121274,22.66726787,9.948645117,16.67245667,18.54308405,10.36617643,9.694458201,10.31176803,9.764094891,2.767407342,3.539723128,50.1,15.8,9.4,15.6,29.4,11.5,10.8,10.1,3.6,3.9
AD23-105,p.form,49.43665459,17.46958153,22.03323331,10.22478367,15.89837154,17.26250855,10.26006143,10.29446926,10.62323457,10.22158689,3.317398657,3.744608141,48.7,15.9,9.1,15.1,27.6,10.3,12.9,10.4,3.6,3.8
AD23-106,p.form,43.22090634,15.84172913,18.99833705,8.268476022,14.63886715,15.43732179,8.803872022,8.12317697,9.052860361,8.450508314,2.55747052,3.225013864,43.2,15,7.9,13.6,24.5,9,10.6,9.2,2.8,3.5
AD23-107,p.form,41.9060997,15.47267612,18.74387716,8.270607438,13.52105338,15.70911991,8.424090686,7.75192646,8.912563357,8.232425136,2.598351618,3.1978,41.4,14.8,7.5,12.6,24.7,9.5,10.3,9.4,3.2,3.4
AD23-108,p.form,56.61837022,19.50405166,24.86318033,10.05928372,17.73310737,18.7253443,10.64132512,12.20180767,12.12539717,11.17516693,3.842367922,4.1721386,51.5,17.9,9.4,16.7,29.6,9,13.5,11.3,3.4,4
